Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence,LinkedIn Search URL,Employment Verified,Verification Source,Verified At
96,Margaret Dawson,Chief Marketing Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w,https://chronosphere.io/,https://chronosphere.io/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Margaret%20Dawson%20Chronosphere,no,,
97,Bill Hineline,Field Chief Technology Officer,Chronosphere,https://www.youtube.com/watch?v=HM9rlmkH47w,https://chronosphere.io/,https://chronosphere.io/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Bill%20Hineline%20Chronosphere,no,,
98,Jean English,Chief Marketing Officer,Juniper Networks,https://www.youtube.com/watch?v=1AedCr4dTdA,https://www.juniper.net:443/,https://www.juniper.net:443/,verified_from_mapping,high,https://www.linkedin.com/search/results/all/?keywords=Jean%20English%20Juniper%20Networks,no,,
100,Brett Hannath,Corporate Vice President & CMO,Intel,https://www.youtube.com/watch?v=sAPATcXqel0,https://www.intel.com/,https://www.intel.com/,verified_from_mapping,high,https://www.linkedin.com/search/results/all/?keywords=Brett%20Hannath%20Intel,no,,
101,Jim Jackson,Chief Marketing Officer,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s,https://www.hpe.com/us/en/home.html,https://www.hpe.com/us/en/home.html,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jim%20Jackson%20HPE,no,,
102,Jason Netwon,VP Global Marketing,HPE,https://www.youtube.com/watch?v=Yr9hzrbnw1s,https://www.hpe.com/us/en/home.html,https://www.hpe.com/us/en/home.html,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jason%20Netwon%20HPE,no,,
103,Jeff Veis,CMO,Impetus Technologies,https://www.youtube.com/watch?v=-ZEkQAUaCgE,https://www.impetus.com/,https://www.impetus.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jeff%20Veis%20Impetus%20Technologies,no,,
105,Ravi Kandikonda,Senior VP of Marketing,Zillow,https://www.youtube.com/watch?v=NHH2dtMVYjE,https://www.zillow.com/,https://www.zillow.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Ravi%20Kandikonda%20Zillow,no,,
107,Jim Kruger,Chief Marketing Officer,Informatica,https://www.youtube.com/watch?v=cU2OgJtMGrs,https://www.informatica.com,https://www.informatica.com,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jim%20Kruger%20Informatica,no,,
110,Abby Strong,CMO,Cribl,https://www.youtube.com/watch?v=1ei82jxf1kw,https://cribl.io/,https://cribl.io/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Abby%20Strong%20Cribl,no,,
112,Peder Ulander,CMO,MongoDB,https://www.youtube.com/watch?v=g8tEN9zNw-A,https://www.mongodb.com/,https://www.mongodb.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Peder%20Ulander%20MongoDB,no,,
113,Mona Chadha,Director of Category Management,AWS,https://www.youtube.com/watch?v=g8tEN9zNw-A,https://aws.amazon.com/,https://aws.amazon.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Mona%20Chadha%20AWS,no,,
117,Eric Hanson,CMO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4,,Company website not found - manual research required,not_found,low,https://www.linkedin.com/search/results/all/?keywords=Eric%20Hanson%20Mitel,no,,
118,Luiz Domingos,CTO,Mitel,https://www.youtube.com/watch?v=gyqBD2Sa_H4,,Company website not found - manual research required,not_found,low,https://www.linkedin.com/search/results/all/?keywords=Luiz%20Domingos%20Mitel,no,,
123,Ian Massingham,CMO,Aiven,https://www.youtube.com/watch?v=qXNwmrolfeA,https://aiven.com/en/,https://aiven.com/en/,verified_from_slug,medium,https://www.linkedin.com/search/results/all/?keywords=Ian%20Massingham%20Aiven,no,,
124,"Duleepa ""Dups"" Wijayawardhana",CTO,Supermetrics,https://www.youtube.com/watch?v=qXNwmrolfeA,https://supermetrics.com,https://supermetrics.com,verified_from_slug,medium,https://www.linkedin.com/search/results/all/?keywords=Duleepa%20%22Dups%22%20Wijayawardhana%20Supermetrics,no,,
125,David Nicholson,Field CTO,Infinidat,https://www.youtube.com/watch?v=TZ4IVk8v-oU,https://www.infinidat.com/en,https://www.infinidat.com/en,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=David%20Nicholson%20Infinidat,no,,
128,Laura Heisman,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=O6EDUm5h1XQ,https://www.vmware.com/,https://www.vmware.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Laura%20Heisman%20VMware,no,,
